ID_Commande,Canal_Marketing,CAC,Impressions,Clics
M-20976,TikTok Ads,21.24,276,16
M-20977,Google Search,47.43,324,5
M-20978,TikTok Ads,21.97,838,34
M-20979,Meta (FB/IG),35.24,396,6
M-20980,Meta (FB/IG),36.14,556,8
M-20981,Google Search,40.88,102,1
M-20982,SEO/Direct,4.62,919,5
M-20983,SEO/Direct,5.14,571,1
M-20984,Meta (FB/IG),38.27,244,4
M-20985,Google Search,44.17,849,11
M-20986,TikTok Ads,22.47,639,27
M-20987,TikTok Ads,21.85,601,14
M-20988,TikTok Ads,20.71,500,11
M-20989,Meta (FB/IG),36.38,528,11
M-20990,Google Search,48.03,212,3
M-20991,SEO/Direct,4.51,862,6
M-20992,TikTok Ads,20.77,763,27
M-20993,Google Search,42.93,540,10
M-20994,TikTok Ads,22.91,645,33
M-20995,TikTok Ads,23.27,667,23
M-20996,Google Search,40.77,690,6
M-20997,TikTok Ads,22.26,445,12
M-20998,Meta (FB/IG),37.43,508,17
M-20999,Google Search,48.65,842,16
M-21000,Google Search,48.91,848,12
M-21001,Google Search,45.23,961,13
M-21002,TikTok Ads,23.04,519,24
M-21003,Google Search,45.09,414,5
M-21004,Google Search,41.38,183,1
M-21005,SEO/Direct,5.41,283,2
M-21006,TikTok Ads,19.98,224,14
M-21007,TikTok Ads,22.24,481,31
M-21008,SEO/Direct,4.83,866,3
M-21009,TikTok Ads,21.72,806,26
M-21010,SEO/Direct,5.49,314,2
M-21011,Meta (FB/IG),37.18,227,6
M-21012,Meta (FB/IG),33.34,655,12
M-21013,SEO/Direct,4.51,587,1
M-21014,Meta (FB/IG),37.04,955,18
M-21015,Google Search,47.62,206,4
M-21016,SEO/Direct,4.86,704,2
M-21017,TikTok Ads,22.23,249,15
M-21018,Google Search,41.52,564,9
M-21019,Google Search,47.65,682,9
M-21020,SEO/Direct,5.18,971,5
M-21021,TikTok Ads,22.22,536,12
M-21022,Meta (FB/IG),32.1,208,7
M-21023,TikTok Ads,24.01,333,19
M-21024,Meta (FB/IG),33.3,433,10
M-21025,Meta (FB/IG),37.15,448,10
M-21026,Google Search,45.09,845,6
M-21027,SEO/Direct,5.15,548,2
M-21028,SEO/Direct,4.98,735,4
M-21029,Google Search,40.51,463,7
M-21030,TikTok Ads,22.37,538,24
M-21031,Meta (FB/IG),33.37,313,6
M-21032,Meta (FB/IG),38.01,297,10
M-21033,Meta (FB/IG),31.97,277,8
M-21034,SEO/Direct,5.09,696,4
M-21035,Meta (FB/IG),32.26,916,27
M-21036,TikTok Ads,22.66,156,10
M-21037,SEO/Direct,4.5,956,5
M-21038,Google Search,45.22,502,7
M-21039,Google Search,43.42,118,0
M-21040,Google Search,41.22,581,8
M-21041,Meta (FB/IG),32.66,773,12
M-21042,Meta (FB/IG),37.3,757,16
M-21043,TikTok Ads,24.0,484,22
M-21044,TikTok Ads,22.57,708,28
M-21045,Google Search,42.26,922,20
M-21046,TikTok Ads,20.52,639,42
M-21047,Meta (FB/IG),33.1,896,13
M-21048,Google Search,48.9,838,17
M-21049,Google Search,44.31,800,14
M-21050,TikTok Ads,20.99,897,48
M-21051,TikTok Ads,20.23,675,20
M-21052,Google Search,40.61,477,10
M-21053,Meta (FB/IG),33.73,277,7
M-21054,SEO/Direct,4.5,261,1
M-21055,Google Search,46.71,685,6
M-21056,Meta (FB/IG),35.84,355,8
M-21057,SEO/Direct,4.62,274,0
M-21058,Google Search,44.61,704,14
M-21059,TikTok Ads,20.89,606,26
M-21060,Google Search,43.47,216,4
M-21061,Google Search,40.77,110,0
M-21062,Google Search,44.9,710,12
M-21063,TikTok Ads,22.84,959,37
M-21064,Meta (FB/IG),34.59,742,15
M-21065,Meta (FB/IG),32.43,772,26
M-21066,TikTok Ads,21.7,362,21
M-21067,SEO/Direct,5.26,901,5
M-21068,Google Search,48.78,553,6
M-21069,SEO/Direct,4.54,994,4
M-21070,Meta (FB/IG),35.05,110,1
M-21071,Google Search,46.58,197,4
M-21072,TikTok Ads,22.87,582,13
M-21073,TikTok Ads,23.09,611,28
M-21074,Meta (FB/IG),32.49,520,7
M-21075,SEO/Direct,5.22,483,3
M-21076,Google Search,46.1,667,6
M-21077,TikTok Ads,23.83,202,9
M-21078,SEO/Direct,5.01,390,2
M-21079,TikTok Ads,23.73,119,4
M-21080,SEO/Direct,5.29,543,2
M-21081,Meta (FB/IG),33.27,732,18
M-21082,Google Search,45.56,495,6
M-21083,Google Search,42.57,364,7
M-21084,Google Search,46.43,926,15
M-21085,SEO/Direct,4.68,577,2
M-21086,SEO/Direct,5.41,300,2
M-21087,Google Search,43.72,155,1
M-21088,TikTok Ads,20.02,590,36
M-21089,Meta (FB/IG),34.56,194,4
M-21090,SEO/Direct,5.43,946,5
M-21091,Google Search,45.67,729,11
M-21092,Meta (FB/IG),33.14,958,27
M-21093,SEO/Direct,5.07,598,1
M-21094,TikTok Ads,20.72,209,8
M-21095,Google Search,40.84,653,12
M-21096,SEO/Direct,4.74,325,2
M-21097,SEO/Direct,5.26,723,3
M-21098,Google Search,41.27,789,8
M-21099,Meta (FB/IG),33.01,937,33
M-21100,TikTok Ads,21.32,543,12
M-21101,SEO/Direct,5.23,953,4
M-21102,Meta (FB/IG),37.58,577,19
M-21103,Meta (FB/IG),35.11,157,2
M-21104,Meta (FB/IG),36.09,877,27
M-21105,Google Search,48.14,258,3
M-21106,SEO/Direct,4.87,891,2
M-21107,Meta (FB/IG),34.33,575,17
M-21108,TikTok Ads,20.85,920,35
M-21109,Meta (FB/IG),35.45,666,13
M-21110,TikTok Ads,23.06,646,24
M-21111,SEO/Direct,5.19,532,3
M-21112,Meta (FB/IG),37.39,698,22
M-21113,Google Search,44.29,130,2
M-21114,TikTok Ads,21.23,369,17
M-21115,Meta (FB/IG),37.49,446,12
M-21116,Google Search,49.46,527,7
M-21117,SEO/Direct,5.29,481,2
M-21118,Google Search,44.0,671,13
M-21119,Google Search,44.34,427,3
M-21120,Meta (FB/IG),36.14,439,11
M-21121,Meta (FB/IG),34.32,519,15
M-21122,Google Search,44.9,382,4
M-21123,TikTok Ads,21.77,140,3
M-21124,Google Search,42.87,833,15
M-21125,Meta (FB/IG),36.59,996,15
M-21126,Google Search,43.26,609,6
M-21127,Google Search,49.11,634,8
M-21128,Google Search,48.91,288,3
M-21129,Meta (FB/IG),33.92,125,4
M-21130,Meta (FB/IG),37.11,130,2
M-21131,Google Search,47.14,466,9
M-21132,Google Search,45.75,795,9
M-21133,Google Search,42.93,456,9
M-21134,Google Search,45.1,737,16
M-21135,TikTok Ads,20.17,336,11
M-21136,Meta (FB/IG),35.26,694,13
M-21137,TikTok Ads,24.03,907,43
M-21138,TikTok Ads,21.27,389,10
M-21139,Meta (FB/IG),38.16,641,19
M-21140,Meta (FB/IG),34.77,652,14
M-21141,Meta (FB/IG),33.2,745,19
M-21142,Google Search,45.37,164,3
M-21143,SEO/Direct,4.7,746,3
M-21144,SEO/Direct,5.37,597,2
M-21145,Meta (FB/IG),35.47,944,21
M-21146,TikTok Ads,23.81,510,15
M-21147,TikTok Ads,20.6,840,49
M-21148,SEO/Direct,5.15,207,1
M-21149,SEO/Direct,5.19,519,1
M-21150,TikTok Ads,21.17,966,37
M-21151,Google Search,48.44,961,19
M-21152,TikTok Ads,21.62,769,45
M-21153,TikTok Ads,20.04,798,37
M-21154,Meta (FB/IG),38.11,392,14
M-21155,Google Search,44.99,757,16
M-21156,SEO/Direct,5.34,658,4
M-21157,Meta (FB/IG),31.8,704,9
M-21158,TikTok Ads,20.89,381,10
M-21159,TikTok Ads,24.16,464,30
M-21160,Meta (FB/IG),37.03,205,4
M-21161,TikTok Ads,23.84,321,8
M-21162,TikTok Ads,20.83,906,52
M-21163,Google Search,43.14,587,9
M-21164,SEO/Direct,4.69,573,3
M-21165,Meta (FB/IG),36.33,560,11
M-21166,TikTok Ads,20.31,210,13
M-21167,TikTok Ads,23.54,919,32
M-21168,TikTok Ads,19.87,383,24
M-21169,SEO/Direct,5.32,469,1
M-21170,Google Search,43.63,166,2
M-21171,Google Search,43.67,414,6
M-21172,Google Search,49.01,999,14
M-21173,Meta (FB/IG),35.81,558,20
M-21174,Meta (FB/IG),37.51,586,18
M-21175,Google Search,43.8,689,11
M-21176,Google Search,42.02,827,10
M-21177,SEO/Direct,4.8,375,2
M-21178,Meta (FB/IG),37.81,590,12
M-21179,SEO/Direct,5.05,705,3
M-21180,Google Search,46.34,580,7
M-21181,Meta (FB/IG),31.97,428,12
M-21182,SEO/Direct,5.1,586,4
M-21183,TikTok Ads,21.09,526,14
M-21184,Meta (FB/IG),34.88,541,17
M-21185,SEO/Direct,4.52,208,1
M-21186,Meta (FB/IG),35.92,132,4
M-21187,Meta (FB/IG),34.2,272,8
M-21188,SEO/Direct,4.54,382,2
M-21189,Meta (FB/IG),33.69,337,12
M-21190,Meta (FB/IG),34.94,312,9
M-21191,SEO/Direct,4.59,330,1
M-21192,Google Search,47.72,467,5
M-21193,Google Search,45.67,834,16
M-21194,Meta (FB/IG),38.16,320,10
M-21195,SEO/Direct,4.57,206,1
M-21196,TikTok Ads,23.02,619,22
M-21197,TikTok Ads,21.47,137,3
M-21198,Google Search,41.02,399,3
M-21199,Google Search,49.44,560,10
M-21200,Google Search,41.12,1000,21
M-21201,TikTok Ads,19.91,243,6
M-21202,TikTok Ads,20.53,867,47
M-21203,TikTok Ads,22.88,557,22
M-21204,Meta (FB/IG),36.76,886,31
M-21205,SEO/Direct,5.23,125,0
M-21206,SEO/Direct,5.0,657,3
M-21207,Meta (FB/IG),37.55,949,22
M-21208,Meta (FB/IG),31.58,480,11
M-21209,Meta (FB/IG),32.94,931,15
M-21210,Google Search,48.22,942,15
M-21211,TikTok Ads,22.74,306,9
M-21212,Meta (FB/IG),34.33,117,1
M-21213,SEO/Direct,5.2,651,4
M-21214,SEO/Direct,4.71,763,2
M-21215,Google Search,43.2,576,9
M-21216,Meta (FB/IG),34.87,891,16
M-21217,Meta (FB/IG),35.01,244,9
M-21218,Meta (FB/IG),36.94,880,15
M-21219,TikTok Ads,21.71,326,11
M-21220,Meta (FB/IG),37.38,900,13
M-21221,Google Search,47.46,388,4
M-21222,TikTok Ads,20.59,580,28
M-21223,SEO/Direct,5.37,760,2
M-21224,TikTok Ads,20.14,360,8
M-21225,Google Search,43.69,319,6
M-21226,Google Search,41.43,457,8
M-21227,SEO/Direct,4.62,284,0
M-21228,Google Search,46.94,284,5
M-21229,SEO/Direct,5.0,810,3
M-21230,SEO/Direct,5.08,777,2
M-21231,Meta (FB/IG),35.67,995,28
M-21232,Google Search,42.33,158,3
M-21233,SEO/Direct,5.02,371,1
M-21234,Meta (FB/IG),32.03,205,4
M-21235,SEO/Direct,5.43,670,2
M-21236,SEO/Direct,4.5,793,5
M-21237,TikTok Ads,20.38,153,6
M-21238,Google Search,46.71,748,14
M-21239,SEO/Direct,4.81,564,1
M-21240,Google Search,40.92,418,6
M-21241,TikTok Ads,23.19,799,29
M-21242,TikTok Ads,24.04,993,40
M-21243,TikTok Ads,21.28,491,19
M-21244,SEO/Direct,5.42,283,0
M-21245,Google Search,46.17,127,2
M-21246,TikTok Ads,23.36,730,33
M-21247,Meta (FB/IG),33.02,359,6
M-21248,Google Search,46.48,494,6
M-21249,SEO/Direct,5.37,459,3
M-21250,Google Search,40.74,896,15
M-21251,TikTok Ads,23.6,285,7
M-21252,Meta (FB/IG),36.17,502,9
M-21253,TikTok Ads,21.13,879,58
M-21254,Meta (FB/IG),34.21,767,12
M-21255,TikTok Ads,22.95,705,25
M-21256,Meta (FB/IG),36.1,814,30
M-21257,Meta (FB/IG),37.19,406,11
M-21258,SEO/Direct,4.84,587,2
M-21259,Google Search,48.69,775,14
M-21260,Meta (FB/IG),37.68,769,10
M-21261,Google Search,41.59,826,17
M-21262,SEO/Direct,5.46,822,3
M-21263,Google Search,46.34,597,9
M-21264,TikTok Ads,21.8,540,29
M-21265,TikTok Ads,23.48,362,10
M-21266,TikTok Ads,24.1,841,46
M-21267,Google Search,41.43,326,2
M-21268,Google Search,46.62,611,11
M-21269,Google Search,46.54,929,14
M-21270,Google Search,48.55,642,7
M-21271,TikTok Ads,23.7,890,28
M-21272,Meta (FB/IG),33.03,660,14
M-21273,Meta (FB/IG),36.12,821,30
M-21274,Meta (FB/IG),36.85,414,6
M-21275,SEO/Direct,5.09,772,2
M-21276,TikTok Ads,22.2,256,16
M-21277,SEO/Direct,5.47,919,6
M-21278,Meta (FB/IG),37.48,497,17
M-21279,SEO/Direct,5.32,608,3
M-21280,SEO/Direct,5.45,547,3
M-21281,Google Search,44.82,323,3
M-21282,Google Search,48.45,336,7
M-21283,SEO/Direct,5.48,766,4
M-21284,TikTok Ads,23.11,248,9
M-21285,TikTok Ads,21.2,478,14
M-21286,SEO/Direct,4.77,878,3
M-21287,SEO/Direct,4.54,322,1
M-21288,Meta (FB/IG),35.56,361,5
M-21289,Meta (FB/IG),36.51,723,15
M-21290,SEO/Direct,4.67,320,2
M-21291,Google Search,46.99,332,2
M-21292,TikTok Ads,23.55,392,17
M-21293,TikTok Ads,22.84,323,15
M-21294,Google Search,41.97,379,7
M-21295,Google Search,48.27,366,4
M-21296,TikTok Ads,22.4,301,16
M-21297,Meta (FB/IG),37.14,530,6
M-21298,SEO/Direct,4.73,116,0
M-21299,TikTok Ads,19.9,987,47
M-21300,Google Search,41.53,810,11
M-21301,TikTok Ads,20.7,548,12
M-21302,SEO/Direct,5.31,564,2
M-21303,Meta (FB/IG),34.57,739,13
M-21304,Google Search,40.54,832,13
M-21305,TikTok Ads,24.05,403,27
M-21306,SEO/Direct,5.15,987,3
M-21307,Google Search,42.29,921,10
M-21308,TikTok Ads,23.95,296,15
M-21309,SEO/Direct,5.49,855,5
M-21310,TikTok Ads,21.77,501,12
M-21311,Meta (FB/IG),36.25,388,14
M-21312,SEO/Direct,5.04,429,2
M-21313,Meta (FB/IG),34.71,269,4
M-21314,Meta (FB/IG),32.91,255,3
M-21315,SEO/Direct,4.64,800,4
M-21316,SEO/Direct,4.77,334,1
M-21317,Google Search,40.69,800,13
M-21318,TikTok Ads,23.6,370,14
M-21319,Google Search,46.25,148,2
M-21320,Meta (FB/IG),37.73,798,27
M-21321,TikTok Ads,22.17,617,32
M-21322,TikTok Ads,21.44,779,23
M-21323,Google Search,48.3,437,4
M-21324,SEO/Direct,4.53,854,2
M-21325,Google Search,42.12,198,2
M-21326,TikTok Ads,19.97,236,13
M-21327,Meta (FB/IG),35.74,950,26
M-21328,Google Search,41.58,119,2
M-21329,TikTok Ads,24.04,778,46
M-21330,Google Search,42.3,508,8
M-21331,Google Search,46.07,496,6
M-21332,SEO/Direct,4.9,445,2
M-21333,Meta (FB/IG),34.44,755,19
M-21334,Meta (FB/IG),34.44,219,6
M-21335,Meta (FB/IG),33.17,132,2
M-21336,TikTok Ads,20.65,113,6
M-21337,Meta (FB/IG),37.7,257,5
M-21338,Google Search,41.41,378,3
M-21339,Google Search,44.92,810,12
M-21340,TikTok Ads,21.64,485,15
M-21341,TikTok Ads,21.21,664,33
M-21342,SEO/Direct,4.61,169,0
M-21343,Meta (FB/IG),35.97,742,26
M-21344,SEO/Direct,5.4,338,2
M-21345,Meta (FB/IG),33.32,982,30
M-21346,Meta (FB/IG),31.73,238,4
M-21347,Google Search,49.34,123,2
M-21348,Meta (FB/IG),36.52,102,3
M-21349,TikTok Ads,21.48,678,43
M-21350,Google Search,43.22,473,5
M-21351,SEO/Direct,5.0,101,0
M-21352,TikTok Ads,21.12,463,28
M-21353,TikTok Ads,23.01,425,25
M-21354,Google Search,40.73,100,0
M-21355,SEO/Direct,4.94,528,1
M-21356,Google Search,47.37,381,7
M-21357,Meta (FB/IG),31.86,790,23
M-21358,Google Search,46.04,108,0
M-21359,Google Search,49.33,647,6
M-21360,SEO/Direct,4.75,784,4
M-21361,Google Search,42.61,495,9
M-21362,Google Search,43.27,813,8
M-21363,Google Search,48.25,659,11
M-21364,Meta (FB/IG),38.26,476,15
M-21365,TikTok Ads,23.06,253,16
M-21366,SEO/Direct,4.56,568,1
M-21367,Meta (FB/IG),32.97,950,29
M-21368,Google Search,43.04,449,7
M-21369,TikTok Ads,20.05,740,42
M-21370,SEO/Direct,5.39,402,2
M-21371,TikTok Ads,22.99,915,29
M-21372,Google Search,42.47,954,15
M-21373,Meta (FB/IG),34.14,557,18
M-21374,Meta (FB/IG),37.44,431,11
M-21375,Google Search,49.08,599,9
M-21376,Google Search,40.62,922,18
M-21377,Google Search,48.79,648,6
M-21378,Google Search,47.09,696,5
M-21379,SEO/Direct,5.11,435,1
M-21380,TikTok Ads,21.35,532,21
M-21381,Google Search,45.79,133,1
M-21382,SEO/Direct,5.36,383,1
M-21383,Google Search,41.03,772,16
M-21384,Google Search,41.53,924,16
M-21385,Meta (FB/IG),31.79,450,14
M-21386,TikTok Ads,22.82,117,7
M-21387,SEO/Direct,5.4,868,4
M-21388,SEO/Direct,5.32,288,1
M-21389,SEO/Direct,5.15,313,1
M-21390,Meta (FB/IG),35.68,835,28
M-21391,TikTok Ads,22.76,712,19
M-21392,Meta (FB/IG),38.19,403,9
M-21393,SEO/Direct,4.62,661,4
M-21394,Meta (FB/IG),34.72,806,26
M-21395,Meta (FB/IG),38.1,423,7
M-21396,SEO/Direct,5.2,356,1
M-21397,Meta (FB/IG),36.61,428,9
M-21398,TikTok Ads,20.93,733,49
M-21399,Google Search,46.13,445,9
M-21400,Google Search,42.99,299,4
M-21401,SEO/Direct,4.74,962,5
M-21402,Meta (FB/IG),38.42,833,21
M-21403,TikTok Ads,19.87,783,39
M-21404,Meta (FB/IG),37.91,418,10
M-21405,TikTok Ads,22.84,505,29
M-21406,TikTok Ads,22.04,414,21
M-21407,Google Search,47.76,900,7
M-21408,TikTok Ads,20.93,259,16
M-21409,Meta (FB/IG),33.54,865,21
M-21410,Google Search,46.36,815,18
M-21411,Meta (FB/IG),34.69,173,5
M-21412,SEO/Direct,5.38,206,0
M-21413,Meta (FB/IG),32.41,705,22
M-21414,SEO/Direct,4.64,621,3
M-21415,Google Search,47.59,298,3
M-21416,Google Search,44.92,902,7
M-21417,Meta (FB/IG),32.34,209,4
M-21418,SEO/Direct,5.45,707,3
M-21419,SEO/Direct,5.32,159,0
M-21420,Google Search,45.9,799,16
M-21421,Google Search,42.88,781,8
M-21422,Meta (FB/IG),35.09,645,21
M-21423,TikTok Ads,19.82,893,37
M-21424,Google Search,48.65,506,6
M-21425,Google Search,41.76,299,6
M-21426,TikTok Ads,21.6,291,16
M-21427,SEO/Direct,5.38,531,2
M-21428,Meta (FB/IG),37.77,268,4
M-21429,Google Search,42.97,989,14
M-21430,TikTok Ads,23.47,479,25
M-21431,Meta (FB/IG),36.83,852,20
M-21432,Google Search,44.12,141,2
M-21433,SEO/Direct,5.44,335,1
M-21434,TikTok Ads,21.85,507,25
M-21435,TikTok Ads,23.23,824,43
M-21436,Google Search,43.29,400,8
M-21437,Google Search,42.41,231,4
M-21438,Meta (FB/IG),37.16,989,24
M-21439,SEO/Direct,4.99,170,0
M-21440,SEO/Direct,5.28,230,0
M-21441,Meta (FB/IG),38.04,630,13
M-21442,SEO/Direct,4.94,310,0
M-21443,SEO/Direct,5.01,943,5
M-21444,TikTok Ads,22.15,745,36
M-21445,SEO/Direct,5.49,217,1
M-21446,TikTok Ads,21.31,236,15
M-21447,Google Search,42.52,470,7
M-21448,SEO/Direct,5.28,828,3
M-21449,TikTok Ads,22.66,495,21
M-21450,Meta (FB/IG),33.63,175,4
M-21451,SEO/Direct,5.48,636,2
M-21452,Meta (FB/IG),34.99,535,6
M-21453,TikTok Ads,20.11,857,36
M-21454,Meta (FB/IG),37.7,745,23
M-21455,TikTok Ads,23.09,578,20
M-21456,TikTok Ads,21.03,707,20
M-21457,SEO/Direct,4.94,350,1
M-21458,Meta (FB/IG),36.63,614,20
M-21459,SEO/Direct,5.29,509,2
M-21460,Google Search,48.05,670,14
M-21461,SEO/Direct,4.57,759,2
M-21462,SEO/Direct,4.81,352,1
M-21463,SEO/Direct,4.94,219,0
M-21464,SEO/Direct,4.68,562,1
M-21465,Meta (FB/IG),38.29,924,28
M-21466,Meta (FB/IG),34.81,958,21
M-21467,Meta (FB/IG),32.99,417,7
M-21468,SEO/Direct,4.65,360,1
M-21469,SEO/Direct,4.7,979,4
M-21470,SEO/Direct,4.57,351,0
M-21471,TikTok Ads,22.72,178,7
M-21472,TikTok Ads,21.76,697,34
M-21473,SEO/Direct,5.17,432,2
M-21474,TikTok Ads,23.87,625,15
M-21475,Google Search,43.53,328,4
M-21476,Meta (FB/IG),32.26,792,15
M-21477,SEO/Direct,4.85,264,1
M-21478,Google Search,41.46,240,2
M-21479,Meta (FB/IG),35.53,249,7
M-21480,Google Search,44.67,247,1
M-21481,TikTok Ads,23.13,372,14
M-21482,TikTok Ads,21.55,294,15
M-21483,SEO/Direct,5.24,613,3
M-21484,Meta (FB/IG),35.99,148,5
M-21485,TikTok Ads,23.01,688,41
M-21486,TikTok Ads,23.76,460,26
M-21487,Meta (FB/IG),37.19,942,17
M-21488,TikTok Ads,23.01,931,36
M-21489,Google Search,42.53,894,9
M-21490,SEO/Direct,5.37,384,2
M-21491,Google Search,48.76,816,15
M-21492,TikTok Ads,21.84,681,20
M-21493,TikTok Ads,20.57,545,16
M-21494,Google Search,47.12,479,7
M-21495,SEO/Direct,4.69,200,1
M-21496,SEO/Direct,4.59,199,1
M-21497,Google Search,46.23,832,9
M-21498,TikTok Ads,22.84,454,13
M-21499,TikTok Ads,21.7,180,11
M-21500,SEO/Direct,5.25,710,4
M-21501,TikTok Ads,21.22,808,26
M-21502,Google Search,44.17,950,9
M-21503,Meta (FB/IG),35.17,215,3
M-21504,SEO/Direct,4.97,278,0
M-21505,SEO/Direct,4.62,874,3
M-21506,TikTok Ads,20.25,275,17
M-21507,SEO/Direct,5.05,557,3
M-21508,Google Search,45.1,232,4
M-21509,SEO/Direct,5.35,499,3
M-21510,Meta (FB/IG),33.38,220,7
M-21511,Meta (FB/IG),31.54,125,3
M-21512,TikTok Ads,23.12,622,37
M-21513,Meta (FB/IG),37.64,340,11
M-21514,SEO/Direct,5.24,470,2
M-21515,Meta (FB/IG),36.07,681,18
M-21516,SEO/Direct,4.68,210,1
M-21517,Google Search,47.96,200,1
M-21518,SEO/Direct,5.49,168,0
M-21519,SEO/Direct,4.72,299,1
M-21520,Meta (FB/IG),33.68,473,13
M-21521,Google Search,40.58,915,7
M-21522,Meta (FB/IG),32.13,747,21
M-21523,Meta (FB/IG),31.57,638,18
M-21524,Google Search,48.71,666,12
M-21525,Google Search,42.68,168,3
M-21526,Meta (FB/IG),33.44,203,5
M-21527,Google Search,44.47,805,6
M-21528,TikTok Ads,22.13,177,6
M-21529,SEO/Direct,4.61,595,2
M-21530,Meta (FB/IG),35.93,218,4
M-21531,SEO/Direct,5.3,242,1
M-21532,Meta (FB/IG),36.98,961,15
M-21533,Meta (FB/IG),32.76,464,12
M-21534,SEO/Direct,5.17,496,3
M-21535,Meta (FB/IG),31.55,741,27
M-21536,Meta (FB/IG),34.33,883,26
M-21537,TikTok Ads,22.84,588,15
M-21538,TikTok Ads,20.23,720,23
M-21539,Meta (FB/IG),32.59,779,23
M-21540,SEO/Direct,5.15,846,6
M-21541,Google Search,45.71,895,12
M-21542,SEO/Direct,5.19,837,5
M-21543,Google Search,47.31,162,1
M-21544,Meta (FB/IG),32.22,479,8
M-21545,SEO/Direct,5.05,295,1
M-21546,SEO/Direct,4.99,928,5
M-21547,SEO/Direct,5.16,729,5
M-21548,SEO/Direct,4.71,629,1
M-21549,Google Search,45.94,440,7
M-21550,SEO/Direct,4.63,159,1
M-21551,SEO/Direct,5.22,382,1
M-21552,Meta (FB/IG),32.35,294,4
M-21553,Google Search,48.25,792,6
M-21554,Meta (FB/IG),36.88,776,14
M-21555,SEO/Direct,4.53,973,3
M-21556,Meta (FB/IG),35.8,461,10
M-21557,Google Search,41.82,675,13
M-21558,Meta (FB/IG),35.02,609,13
M-21559,SEO/Direct,4.52,763,4
M-21560,Google Search,47.96,999,8
M-21561,Meta (FB/IG),33.41,214,4
M-21562,Meta (FB/IG),35.39,839,22
M-21563,SEO/Direct,5.48,427,1
M-21564,SEO/Direct,5.19,745,1
M-21565,Meta (FB/IG),38.24,785,16
M-21566,Google Search,49.43,254,4
M-21567,Google Search,40.53,413,8
M-21568,SEO/Direct,4.54,291,0
M-21569,Google Search,41.31,860,15
M-21570,Meta (FB/IG),38.23,434,9
M-21571,Google Search,43.53,581,9
M-21572,TikTok Ads,19.86,429,13
M-21573,Meta (FB/IG),31.68,451,8
M-21574,TikTok Ads,24.13,401,21
M-21575,TikTok Ads,21.95,423,23
M-21576,Google Search,48.52,988,20
M-21577,TikTok Ads,22.03,206,11
M-21578,Google Search,41.48,621,5
M-21579,SEO/Direct,4.94,772,5
M-21580,TikTok Ads,19.92,538,16
M-21581,SEO/Direct,4.93,819,5
M-21582,TikTok Ads,23.22,565,31
M-21583,SEO/Direct,5.25,713,3
M-21584,TikTok Ads,20.28,128,6
M-21585,TikTok Ads,23.09,778,43
M-21586,TikTok Ads,20.09,274,11
M-21587,TikTok Ads,19.87,388,25
M-21588,Google Search,42.05,928,11
M-21589,Meta (FB/IG),35.42,874,17
M-21590,TikTok Ads,21.47,698,46
M-21591,SEO/Direct,4.76,804,3
M-21592,Google Search,46.73,881,9
M-21593,Google Search,44.47,178,3
M-21594,Meta (FB/IG),36.5,977,15
M-21595,Meta (FB/IG),32.09,386,8
M-21596,SEO/Direct,4.56,861,5
M-21597,SEO/Direct,5.38,471,2
M-21598,Meta (FB/IG),33.17,735,23
M-21599,TikTok Ads,22.23,786,21
M-21600,Google Search,48.63,582,6
M-21601,Meta (FB/IG),32.08,497,13
M-21602,TikTok Ads,19.87,786,26
M-21603,TikTok Ads,20.77,340,19
M-21604,SEO/Direct,4.75,417,1
M-21605,SEO/Direct,4.58,893,3
M-21606,TikTok Ads,20.41,600,33
M-21607,Meta (FB/IG),32.4,592,17
M-21608,Google Search,49.11,681,5
M-21609,Google Search,48.25,561,10
M-21610,Google Search,41.8,304,4
M-21611,SEO/Direct,4.6,185,0
M-21612,Meta (FB/IG),33.84,644,12
M-21613,SEO/Direct,5.12,199,0
M-21614,TikTok Ads,23.09,608,18
M-21615,SEO/Direct,4.92,212,1
M-21616,Meta (FB/IG),36.09,561,12
M-21617,SEO/Direct,5.36,820,3
M-21618,TikTok Ads,22.04,554,18
M-21619,SEO/Direct,4.61,574,2
M-21620,SEO/Direct,5.16,683,2
M-21621,TikTok Ads,24.13,374,17
M-21622,Google Search,42.08,522,11
M-21623,TikTok Ads,21.63,431,20
M-21624,Meta (FB/IG),31.7,263,8
M-21625,Meta (FB/IG),35.34,162,5
M-21626,SEO/Direct,4.68,724,3
M-21627,Google Search,44.53,256,2
M-21628,SEO/Direct,4.95,385,1
M-21629,SEO/Direct,4.61,127,0
M-21630,Google Search,40.84,530,10
M-21631,Meta (FB/IG),32.7,202,5
M-21632,Meta (FB/IG),36.99,440,11
M-21633,Google Search,44.74,155,1
M-21634,Meta (FB/IG),32.59,703,23
M-21635,TikTok Ads,20.58,798,36
M-21636,Google Search,46.44,996,16
M-21637,Meta (FB/IG),37.0,281,8
M-21638,Meta (FB/IG),32.71,338,7
M-21639,SEO/Direct,5.2,659,2
M-21640,SEO/Direct,5.46,552,3
M-21641,TikTok Ads,19.9,325,17
M-21642,Meta (FB/IG),36.29,863,25
M-21643,SEO/Direct,4.9,407,2
M-21644,SEO/Direct,5.23,269,1
M-21645,TikTok Ads,20.98,324,20
M-21646,Google Search,47.66,128,0
M-21647,Meta (FB/IG),34.0,718,21
M-21648,Google Search,42.97,401,8
M-21649,Google Search,47.12,141,1
